0.999806,0,0.0199989,0,0,1,0,0,-0.0199989,0,0.999806,0,3,0,20,1|
-0.265966,0,0.963992,0,0,1,0,0,-0.963992,0,-0.265966,0,3,0,20,1|
-0.265966,0,0.963992,0,0,1,0,0,-0.963992,0,-0.265966,0,5.63833,0,10.4374,1|
-0.63593,0,0.77176,0,0,1,0,0,-0.77176,0,-0.63593,0,11.0564,0,3.86197,1|
-0.994857,0,0.101419,0,0,1,0,0,-0.101419,0,-0.994857,0,19.0641,0,5.14991,1|
-0.961511,0,-0.27483,0,0,1,0,0,0.27483,0,-0.961511,0,24.7747,0,4.56774,1|
-0.416155,0,0.909315,0,0,1,0,0,-0.909315,0,-0.416155,0,24.7747,0,4.56774,1|
0.999222,0,-0.0399895,0,0,1,0,0,0.0399895,0,0.999222,0,25.6595,0,4.56774,1|
0.999222,0,-0.0399895,0,0,1,0,0,0.0399895,0,0.999222,0,23.1614,0,0.500512,1|
-0.108989,0,-0.994067,0,0,1,0,0,0.994067,0,-0.108989,0,23.1614,0,0.500512,1|
